,Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
127,CHO,36,29/12/2021,Away,IND,W,116,108,44,85,0.518,9,26,0.346,19,32,0.594,8,48,27,12,5,13,20,36,86,0.419,17,45,0.378,19,29,0.655,10,45,25,8,6,18,20
128,CHO,37,02/01/2022,Home,PHO,L,99,133,39,85,0.459,9,35,0.257,12,21,0.571,5,34,27,10,9,17,15,52,103,0.505,17,41,0.415,12,12,1,14,53,36,15,4,17,21
129,CHO,38,03/01/2022,Away,WAS,L,121,124,50,104,0.481,14,38,0.368,7,13,0.538,13,45,28,14,5,8,22,40,87,0.46,16,38,0.421,28,31,0.903,10,51,26,5,4,15,12
130,CHO,39,05/01/2022,Home,DET,W,140,111,48,81,0.593,24,42,0.571,20,29,0.69,8,49,39,6,3,17,21,43,92,0.467,14,42,0.333,11,20,0.55,9,36,26,12,3,13,21
131,CHO,40,08/01/2022,Home,MIL,W,114,106,44,99,0.444,16,48,0.333,10,17,0.588,13,49,29,10,3,10,25,35,90,0.389,12,37,0.324,24,26,0.923,14,53,21,6,4,15,20
132,CHO,41,10/01/2022,Home,MIL,W,103,99,38,96,0.396,13,44,0.295,14,16,0.875,13,48,23,12,3,14,16,37,84,0.44,13,43,0.302,12,16,0.75,7,48,25,7,2,20,17
133,CHO,42,12/01/2022,Away,PHI,W,109,98,46,89,0.517,10,34,0.294,7,8,0.875,7,42,29,9,3,10,21,34,73,0.466,12,30,0.4,18,28,0.643,3,33,18,3,3,16,13
134,CHO,43,14/01/2022,Home,ORL,L,109,116,40,97,0.412,12,42,0.286,17,21,0.81,11,44,28,9,5,16,20,45,87,0.517,15,45,0.333,11,15,0.733,4,43,32,9,4,19,18
135,CHO,44,17/01/2022,Away,NYK,W,97,87,36,86,0.419,14,39,0.359,11,17,0.647,6,39,23,6,2,7,14,32,80,0.4,12,34,0.353,11,21,0.524,14,53,22,7,4,15,19
136,CHO,45,19/01/2022,Away,BOS,W,111,102,42,86,0.488,16,39,0.41,11,15,0.733,11,47,27,6,6,15,17,39,90,0.433,14,46,0.304,10,13,0.769,8,38,27,8,3,14,20
137,OKC,1,20/10/2021,Away,UTA,L,86,107,34,91,0.374,7,35,0.2,11,18,0.611,15,50,19,4,2,14,15,40,91,0.44,14,47,0.298,13,15,0.867,12,53,18,6,5,10,19
138,OKC,2,22/10/2021,Away,HOU,L,91,124,34,91,0.374,14,43,0.326,9,16,0.563,8,39,22,9,4,19,21,48,95,0.505,17,38,0.447,11,14,0.786,10,54,29,12,10,17,18
139,OKC,3,24/10/2021,Home,PHI,L,103,115,40,84,0.476,8,31,0.258,15,19,0.789,6,42,24,9,4,11,17,41,88,0.466,17,41,0.415,16,20,0.8,12,47,25,4,9,12,17
140,OKC,4,26/10/2021,Home,GSW,L,98,106,36,86,0.419,12,34,0.353,14,17,0.824,9,42,19,7,3,13,18,39,83,0.47,14,40,0.35,14,18,0.778,7,46,30,9,8,15,20
141,OKC,5,27/10/2021,Home,LAL,W,123,115,43,86,0.5,15,37,0.405,22,29,0.759,10,42,21,8,3,15,16,46,92,0.5,11,35,0.314,12,14,0.857,10,40,29,8,2,17,22
142,OKC,6,30/10/2021,Away,GSW,L,82,103,29,83,0.349,8,39,0.205,16,21,0.762,3,45,14,8,6,15,8,39,92,0.424,21,54,0.389,4,8,0.5,10,56,30,9,8,15,21
143,OKC,7,01/11/2021,Away,LAC,L,94,99,35,90,0.389,11,37,0.297,13,16,0.813,10,51,17,8,6,16,18,35,92,0.38,15,42,0.357,14,19,0.737,13,51,18,8,5,12,14
144,OKC,8,04/11/2021,Away,LAL,W,107,104,37,87,0.425,15,41,0.366,18,26,0.692,12,50,23,7,2,16,16,39,94,0.415,12,33,0.364,14,17,0.824,16,49,22,8,5,13,21
145,OKC,9,07/11/2021,Home,SAS,W,99,94,35,94,0.372,12,42,0.286,17,20,0.85,15,57,21,5,7,13,14,41,100,0.41,6,30,0.2,6,9,0.667,11,46,29,9,10,9,16
146,OKC,10,10/11/2021,Away,NOP,W,108,100,37,87,0.425,10,34,0.294,24,30,0.8,13,56,23,6,4,18,23,34,97,0.351,9,35,0.257,23,32,0.719,19,50,24,13,5,9,20
147,OKC,11,12/11/2021,Home,SAC,W,105,103,42,99,0.424,10,30,0.333,11,15,0.733,16,52,13,8,6,10,18,38,95,0.4,14,41,0.341,13,17,0.765,11,49,20,5,7,13,12
148,OKC,12,14/11/2021,Home,BRK,L,96,120,36,90,0.4,14,45,0.311,10,11,0.909,10,44,20,9,2,14,22,41,82,0.5,18,43,0.419,20,21,0.952,7,44,31,8,3,13,15
149,OKC,13,15/11/2021,Home,MIA,L,90,103,34,83,0.41,15,41,0.366,7,10,0.7,9,42,26,6,10,20,15,37,82,0.451,18,40,0.45,11,13,0.846,8,45,22,11,5,17,13
150,OKC,14,17/11/2021,Home,HOU,W,101,89,41,92,0.446,10,39,0.256,9,16,0.563,9,56,18,10,6,10,19,32,90,0.356,12,42,0.286,13,19,0.684,9,46,16,6,4,14,14
151,OKC,15,19/11/2021,Away,MIL,L,89,96,32,91,0.352,12,48,0.25,13,21,0.619,11,53,17,6,4,12,22,31,83,0.373,12,41,0.293,22,26,0.846,6,53,21,9,5,12,18
