Team,Game,Date,HC,Opponent,WINorLOSE,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoalsPCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OREB,TRB,AST,STL,BLK,TOV,PF,OPP_FG,OPP_FGA,OPP_FG_PCT,OPP_FG3,OPP_FG3A,OPP_FG3_PCT,OPP_FT,OPP_FTA,OPP_FT_PCT,OPP_ORB,OPP_TRB,OPP_AST,OPP_STL,OPP_BLK,OPP_TOV,OPP_PF
ORL,40,2022-01-08,Away,DET,L,92,97,29,86,.337,14,46,.304,20,23,.870,8,44,25,6,9,12,20,38,87,.437,10,33,.303,11,16,.688,7,49,23,7,6,12,21
ORL,41,2022-01-09,Home,WAS,L,100,102,38,95,.400,9,28,.321,15,16,.938,9,42,18,9,6,7,21,36,88,.409,11,29,.379,19,24,.792,12,54,23,1,6,12,21
ORL,42,2022-01-12,Away,WAS,L,106,112,41,99,.414,11,35,.314,13,16,.813,18,49,31,6,6,9,16,43,82,.524,10,31,.323,16,21,.762,6,42,26,6,4,10,14
ORL,43,2022-01-14,Away,CHO,W,116,109,45,87,.517,15,45,.333,11,15,.733,4,43,32,9,4,19,18,40,97,.412,12,42,.286,17,21,.810,11,44,28,9,5,16,20
ORL,44,2022-01-15,Away,DAL,L,92,108,37,77,.481,7,26,.269,11,16,.688,5,37,16,7,3,15,26,32,78,.410,12,34,.353,32,38,.842,12,47,16,6,3,9,18
ORL,45,2022-01-17,Home,POR,L,88,98,34,90,.378,8,32,.250,12,20,.600,10,50,21,9,7,16,15,37,90,.411,7,34,.206,17,18,.944,11,55,20,9,8,17,17
ORL,46,2022-01-19,Away,PHI,L,110,123,40,90,.444,18,35,.514,12,16,.750,9,43,26,4,4,11,19,45,83,.542,10,28,.357,23,27,.852,6,44,21,7,8,9,15
ORL,47,2022-01-21,Home,LAL,L,105,116,36,81,.444,11,40,.275,22,29,.759,3,35,23,6,9,17,21,42,85,.494,13,30,.433,19,23,.826,8,45,23,12,4,18,24
ORL,48,2022-01-23,Home,CHI,W,114,95,42,80,.525,12,26,.462,18,23,.783,3,35,31,7,8,12,25,33,76,.434,5,21,.238,24,32,.750,11,44,10,3,4,21,22
ORL,49,2022-01-26,Home,LAC,L,102,111,38,84,.452,9,35,.257,17,22,.773,8,39,29,9,3,13,23,36,81,.444,15,29,.517,24,27,.889,8,49,20,7,1,15,22
ORL,50,2022-01-28,Home,DET,W,119,103,41,83,.494,12,25,.480,25,26,.962,8,47,28,5,7,15,22,32,87,.368,10,29,.345,29,37,.784,14,41,23,10,9,10,24
ORL,51,2022-01-30,Home,DAL,W,110,108,43,84,.512,11,34,.324,13,16,.813,9,40,26,8,1,16,16,39,81,.481,16,38,.421,14,18,.778,7,40,22,9,4,18,19
